objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,IMG_0891.JPG,N/A,N/A,Ninoy Aquino Assasination Mass Leaflet,Benigno S. Aquino Memorial Society,1985-08-21,Leaflet for a concelebrated mass on the 2nd Anniversary of Benigno S. Aquino's Assasination ,martial law;ninoy aquino;leaflet;ninoy aquino assasination,"New York City, United States of America",40.73061,-73.935242,The Freedom Memorial Museum Collection,FMM-203-2021,leaflet,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,IMG_0930.JPG,N/A,N/A,Martial Law Newsclipping,Henry Kamm; The New York Times,1981-01-16,"Newspaper article entitled ""Marcos Is Expected to Lift Martial Law Shortly, but Opposition Is Wary""",martial law lifting;marcos;newspaper;clippings,"New York City, United States of America",40.73061,-73.935242,The Freedom Memorial Museum Collection,FMM-211-2021,newspaper;newspaper clipping,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
